"Id","NameEn","NameUk","NamePt","CountryCode","RegionEn","RegionUk","RegionPt","Latitude","Longitude","Population","NameEs","RegionEs"
"687373","Zelene","Зелене","Zelene","UA","Kirovohrad","Кіровоградська область","Oblast de Kirovogrado","48.4574","33.42095","604","Zelene","Óblast de Kirovogrado"
"687374","Zelene","Зелене","Zelene","UA","Donetsk","Донецька Область","Oblast de Donetsk","47.94536","38.17482","575","Zelene","Óblast de Donetsk"
"687383","Zelenivka","Зеленівка","Zelenivka","UA","Kherson","Херсонська область","Kherson","46.71717","32.65697","5775","Zelenivka","Óblast de Jersón"
"687385","Zelenotropynske","Zelenotropyns’ke","Zelenotropynske","UA","Kherson","Херсонська область","Kherson","46.27195","32.44576","514","Zelenotropynske","Óblast de Jersón"
"687389","Zelenohirske","Зеленогірське","Zelenohirske","UA","Odesa","Одеська Область","Oblast de Odessa","47.87793","30.09844","1493","Zelenohirske","Óblast de Odesa"
"687391","Zelenogorskoye","Зеленогірське","Zelenogorskoye","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","45.01249","34.46848","1877","Zelenogorskoye","República autónoma de Crimea"
"687392","Zelenodolsk","Zelenodol’s’k","Zelenodolsk","UA","Dnipropetrovsk","Дніпропетровська область","Dnipropetrovsk","47.55498","33.65905","12692","Zelenodolsk","Dnipropetrovsk"
"687404","Zelyonaya Niva","Зелена Нива","Zelyonaya Niva","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","45.93503","33.89163","584","Zelyonaya Niva","República autónoma de Crimea"
"687417","Zelena","Зелена","Zelena","UA","Chernivtsi","Чернівецька область","Oblast de Chernivtsi","48.36385","26.73497","1980","Zelena","Chernivtsi"
"687420","Zelene","Zelena","Zelene","UA","Ivano-Frankivsk","Івано-Франківська область","Oblast de Ivano-Frankivsk","48.04745","24.74974","814","Zelene","Óblast de Ivano-Frankivsk"
"687425","Zeleniv","Зеленів","Zeleniv","UA","Chernivtsi","Чернівецька область","Oblast de Chernivtsi","48.35516","25.63885","836","Zeleniv","Chernivtsi"
"687432","Zdolbuniv","Здолбунів","Zdolbuniv","UA","Rivne Oblast","Рівненська Область","Rivne","50.52205","26.24823","24501","Zdolbuniv","Óblast de Rivne"
"687433","Zdovbytsia","Zdovbytsya","Zdovbytsia","UA","Rivne Oblast","Рівненська Область","Rivne","50.499","26.24715","4858","Zdovbytsia","Óblast de Rivne"
"687449","Zboriv","Зборів","Zboriv","UA","Ternopil","Тернопільська Область","Oblast de Ternopil","49.66493","25.14019","6695","Zboriv","Óblast de Ternópil"
"687455","Zbarazh","Збараж","Zbarazh","UA","Ternopil","Тернопільська Область","Oblast de Ternopil","49.66157","25.77925","13746","Zbarazh","Óblast de Ternópil"
"687466","Zazdrist","Zazdrist","Zazdrist","UA","Ternopil","Тернопільська Область","Oblast de Ternopil","49.35064","25.51489","929","Zazdrost","Óblast de Ternópil"
"687468","Zaitseve","Zaytseve","Zaitseve","UA","Donetsk","Донецька Область","Oblast de Donetsk","48.52675","38.07086","1162","Zaitseve","Óblast de Donetsk"
